Democratic People's Republic of Korea, Italy, reef, 20, 63, baqxsi, 1582284844
Cote d'Ivoire, Sudan, reef, 40, 487, enwuqi, 1582284844
Chad, Western Sahara, dry, 40, 485, qmkphy, 1582284844
Isle of Man, Italy, dry, 20, 323, izgsqv, 1582284844
Kuwait, Senegal, dry, 20, 176, rtyugs, 1582284844
New Caledonia, Somalia, reef, 40, 149, aqmhkb, 1582284844
Saint Martin, Madagascar, reef, 40, 167, ygmipa, 1582284844
Bhutan, Cyprus, dry, 40, 478, lvfmqx, 1582284844
Kenya, Somalia, dry, 40, 453, yhmlfc, 1582284844
Honduras, Philippines, reef, 20, 453, vqgsdl, 1582284844
Liechtenstein, Djibouti, dry, 40, 196, tiycug, 1582284844
Israel, Bermuda, reef, 40, 162, rzfhwd, 1582284844
Bolivia, Romania, reef, 20, 38, frawon, 1582284844
Kyrgyz Republic, Saudi Arabia, dry, 40, 487, epsxzk, 1582284844
Republic of Korea, Nepal, dry, 40, 183, gzjduq, 1582284844
Holy See (Vatican City State), Zambia, reef, 40, 348, hicwov, 1582284844
Nauru, Lithuania, reef, 20, 64, zfdney, 1582284844
Cape Verde, Japan, dry, 40, 396, mngcyh, 1582284844
Dominican Republic, Guinea-Bissau, dry, 20, 227, sknjgz, 1582284844
Ethiopia, Costa Rica, dry, 20, 15, jypsqf, 1582284844
India, Sweden, dry, 20, 411, gvcjpq, 1582284844
Cambodia, Mexico, dry, 20, 389, ltaicb, 1582284844
Sri Lanka, British', reef, 40, 372, dkftyl, 1582284844
Bermuda, Saint Helena, dry, 40, 34, dzpgkw, 1582284844
Tonga, Pitcairn Islands, reef, 20, 279, fxmivz, 1582284844
Cape Verde, Lithuania, reef, 40, 20, naxwqd, 1582284844
Lao People's Democratic Republic, Christmas Island, reef, 20, 77, wyzjar, 1582284844
Cyprus, Martinique, dry, 20, 333, imgcvk, 1582284844
Guinea-Bissau, Norfolk Island, reef, 20, 499, ibvcjd, 1582284844
Bangladesh, Lao People's Democratic Republic, reef, 20, 389, pmbhxd, 1582284844
Gambia, Cyprus, reef, 40, 360, zsyxmn, 1582284844
Bahrain, Nepal, dry, 20, 387, zpniht, 1582284844
Monaco, Reunion, dry, 20, 246, jvkqmn, 1582284844
Cook Islands, Macedonia, dry, 20, 94, zfrpsm, 1582284844
Colombia, Christmas Island, reef, 40, 282, dfwxkh, 1582284844
Isle of Man, Romania, dry, 20, 463, tsnruf, 1582284844
Philippines, Slovakia (Slovak Republic), dry, 40, 467, hjerlo, 1582284844
Niue, Moldova, dry, 20, 246, ikalnj, 1582284844
Central African Republic, Burundi, dry, 20, 286, mpelbf, 1582284844
Mali, Jamaica, dry, 20, 488, xicpvu, 1582284844
Mongolia, Dominica, dry, 20, 151, shetiv, 1582284844
French Guiana, Martinique, dry, 20, 17, oqxgdw, 1582284844
San Marino, Croatia, reef, 40, 197, xcewqo, 1582284844
San Marino, Israel, reef, 20, 135, wtlqro, 1582284844
Gabon, Saint Barthelemy, dry, 20, 138, mfdowg, 1582284844
Belarus, Slovakia (Slovak Republic), dry, 20, 451, kdjhqb, 1582284844
Niue, Bermuda, reef, 40, 29, xgzbkc, 1582284844
Chad, Spain, reef, 40, 487, ieopau, 1582284844
Switzerland, Saint Lucia, dry, 20, 66, srcxzp, 1582284844
Syrian Arab Republic, Costa Rica, reef, 20, 261, dyhipn, 1582284844
British Indian Ocean Territory (Chagos Archipelago), Puerto Rico, dry, 20, 205, nbqfal, 1582284844
Saint Kitts and Nevis, Maldives, reef, 40, 398, yqnmce, 1582284844
Solomon Islands, Paraguay, reef, 20, 347, kmluyq, 1582284844
Paraguay, Romania, dry, 20, 362, engqcr, 1582284844
Vietnam, Spain, dry, 40, 396, wagtum, 1582284844
Lithuania, Dominica, dry, 40, 163, hgbecj, 1582284844
Hong Kong, Cameroon, reef, 40, 465, kpcrvs, 1582284844
Israel, Djibouti, reef, 20, 328, mhieno, 1582284844
Switzerland, Indonesia, dry, 40, 260, qhdamx, 1582284844
Saint Pierre and Miquelon, Namibia, reef, 40, 8, lbsyro, 1582284844
Iceland, Togo, dry, 20, 403, kdvatq, 1582284844
Liberia, Macedonia, dry, 40, 413, xtrhjk, 1582284844
Ethiopia, Kazakhstan, dry, 40, 170, pdrhyz, 1582284844
Mauritius, South Africa, dry, 20, 86, tmhroi, 1582284844
Pitcairn Islands, Bulgaria, dry, 40, 232, zrlmbd, 1582284844
Guyana, Taiwan, dry, 40, 334, bzocij, 1582284844
Palestinian Territory, Fiji, dry, 20, 439, wrkuan, 1582284844
Sweden, Ecuador, dry, 40, 42, hmetzb, 1582284844
Cameroon, British Indian Ocean Territory (Chagos Archipelago), dry, 40, 419, vhenjc, 1582284844
Grenada, Peru, reef, 20, 237, yicwua, 1582284844
Sao Tome and Principe, Central African Republic, dry, 40, 248, jwocrq, 1582284844
Ukraine, Maldives, dry, 40, 149, uslbjo, 1582284844
Greece, Lithuania, reef, 40, 128, sztfrv, 1582284844
Chile, Northern Mariana Islands, dry, 20, 41, zdqsea, 1582284844
Sierra Leone, Latvia, dry, 20, 83, ncbylg, 1582284844
Tuvalu, Norfolk Island, dry, 20, 319, dcglvp, 1582284844
Mauritius, Malaysia, reef, 20, 216, ekrufx, 1582284844
Seychelles, Cook Islands, dry, 40, 362, nfgler, 1582284844
Egypt, Bermuda, reef, 40, 411, pljmci, 1582284844
